time,come,leave
2018-02-12 00:05:01,11,13
2018-02-12 00:10:01,10,7
2018-02-12 00:15:01,10,12
2018-02-12 00:20:01,9,12
2018-02-12 00:25:01,5,9
2018-02-12 00:30:01,9,7
2018-02-12 00:35:01,8,6
2018-02-12 00:40:01,4,6
2018-02-12 00:45:01,13,7
2018-02-12 00:50:01,6,8
2018-02-12 00:55:01,7,12
2018-02-12 01:00:01,5,7
2018-02-12 01:05:01,6,4
2018-02-12 01:10:01,3,8
2018-02-12 01:15:01,11,4
2018-02-12 01:20:01,8,7
2018-02-12 01:25:01,6,10
2018-02-12 01:30:01,5,4
2018-02-12 01:35:01,5,7
2018-02-12 01:40:01,4,7
2018-02-12 01:45:01,7,4
2018-02-12 01:50:01,6,5
2018-02-12 01:55:01,10,8
2018-02-12 02:00:01,2,12
2018-02-12 02:05:01,4,3
2018-02-12 02:10:01,6,2
2018-02-12 02:15:01,5,6
2018-02-12 02:20:01,8,6
2018-02-12 02:25:01,3,4
2018-02-12 02:30:01,7,5
2018-02-12 02:35:01,7,8
2018-02-12 02:40:01,4,6
2018-02-12 02:45:01,8,5
2018-02-12 02:50:01,8,5
2018-02-12 02:55:01,10,7
2018-02-12 03:00:01,6,7
2018-02-12 03:05:01,4,9
2018-02-12 03:10:01,3,7
2018-02-12 03:15:01,4,4
2018-02-12 03:20:01,5,2
2018-02-12 03:25:01,7,5
2018-02-12 03:30:01,6,7
2018-02-12 03:35:01,5,7
2018-02-12 03:40:01,7,9
2018-02-12 03:45:01,2,5
2018-02-12 03:50:01,7,2
2018-02-12 03:55:01,4,4
2018-02-12 04:00:01,6,9
2018-02-12 04:05:01,6,4
2018-02-12 04:10:01,1,5
2018-02-12 04:15:01,7,1
2018-02-12 04:20:01,4,5
2018-02-12 04:25:01,4,2
2018-02-12 04:30:01,8,6
2018-02-12 04:35:01,9,7
2018-02-12 04:40:01,3,3
2018-02-12 04:45:01,3,11
2018-02-12 04:50:01,9,3
2018-02-12 04:55:01,4,7
2018-02-12 05:00:01,5,7
2018-02-12 05:05:01,4,3
2018-02-12 05:10:01,4,5
2018-02-12 05:15:01,3,5
2018-02-12 05:20:01,8,2
2018-02-12 05:25:01,3,5
2018-02-12 05:30:01,4,6
2018-02-12 05:35:01,5,4
2018-02-12 05:40:01,6,4
2018-02-12 05:45:01,8,6
2018-02-12 05:50:01,6,5
2018-02-12 05:55:01,5,10
2018-02-12 06:00:01,7,6
